x,Farah,Cheptegei,Tanui,Karoki
7.7,268.73,250.35,163.94,213.91
13,268.34,249.78,163.66,213.6
19.7,267.83,249.05,163.29,213.2
21.2,267.72,248.88,163.21,213.11
118,260.61,239.9,157.74,207.23
120.5,260.43,239.7,157.59,207.07
123.3,260.23,239.49,157.42,206.9
149.7,258.37,237.5,155.77,205.2
242.7,251.93,230.98,149.85,198.23
246.5,251.66,230.72,149.62,197.88
305.8,247.24,226.82,146.07,191.69
313.4,246.62,226.34,145.6,190.87
343.8,244.07,224.45,143.62,187.93
347.3,243.79,224.24,143.36,187.64
408.1,239.87,221.05,139.16,184.44
434.4,238.78,220.02,138.42,183.71
457.7,238.01,219.29,138.1,183.19
460.6,237.93,219.21,138.08,183.13
518.8,236.52,217.89,137.82,182.02
623.7,234.9,216.33,137.79,180.06
645,234.66,216.08,137.79,179.63
738.7,233.86,215.18,137.8,177.82
768.1,233.68,214.99,137.8,177.4
817.3,233.43,214.79,137.78,176.93
848,233.3,214.73,137.77,176.82
1048.2,233.1,214.95,137.84,177.35
1125.1,233.32,215.15,138.05,177.33
1155.9,233.46,215.23,138.21,177.29
1209.6,233.82,215.36,138.68,177.22
1334.4,235.12,215.55,140.69,177.33
1350,235.29,215.56,140.86,177.4
1392.9,235.74,215.57,141.17,177.67
1574.7,236.37,215.27,141.36,179.08
1608.6,236.23,215.14,141.28,179.06
1643.8,236,214.98,141.15,178.88
1697.5,235.53,214.65,140.95,178.42
1740.8,235.07,214.3,140.85,178.18
1897.7,233.06,212.52,140.76,177.72
1946.6,232.37,211.96,140.78,176.64
1977.9,231.93,211.63,140.8,175.82
2137.3,229.69,210.03,140.97,171.47
2195.7,228.92,209.27,141.05,170.42
2321.8,227.53,207.05,141.22,169.68
2326.4,227.49,206.97,141.22,169.66
2398.6,227,206.14,141.32,169.36
2552.6,226.8,206.14,141.54,168.77
2647.9,227.04,206.56,141.67,168.63
2774.2,227.11,206.82,141.83,168.3
2806.5,227.01,206.73,141.87,168.07
2888,226.53,206.1,141.95,167.19
2958.7,225.94,205.12,142.01,166.51
3002.9,225.52,204.4,142.05,166.2
3155.4,223.91,202.07,142.08,165.14
3235.5,223.05,201.48,142.05,164.26
3340,222.02,201.16,141.94,162.53
3387.8,221.62,200.56,141.86,161.6
3478.4,221.03,199.37,141.67,159.9
3512.1,220.87,199.16,141.6,159.34
3538.4,220.77,199.04,141.55,158.97
3755.3,220.57,198.46,141.62,157.56
3807.5,220.61,198.3,141.85,157.54
3824.7,220.63,198.24,141.97,157.55
3886.3,220.68,198.02,142.76,157.63
3935.6,220.71,197.86,143.3,157.74
4060,220.72,197.54,142.47,158.08
4101.8,220.69,197.5,142.39,158.21
4167.7,220.61,197.49,142.58,158.4
4318.5,220.17,197.52,142.99,158.57
4360.3,219.93,197.4,142.81,158.48
4380,219.79,197.29,142.64,158.38
4384.9,219.75,197.25,142.59,158.34
4438.5,219.14,196.62,141.81,157.43
4458.4,218.8,196.33,141.42,156.81
4555.1,215.42,193.94,139.18,153.92
4569.2,214.84,193.46,138.86,153.45
4572.4,214.72,193.35,138.79,153.34
4604.3,213.56,192.16,138.17,152.1
4624.2,212.89,191.37,137.82,151.24
4702.3,210.35,188,136.38,147.45
4747.5,208.83,185.93,135.22,144.38
4762,208.32,185.24,134.77,143.45
4790.2,207.26,183.9,133.82,141.83
4863.2,203.99,180.26,130.97,138.1
4907.9,201.55,177.9,129.06,135.92
4950,198.99,175.53,127.2,133.77
4964.4,198.09,174.68,126.56,132.98
4974.1,197.46,174.09,126.12,132.41
5042.4,193.01,169.34,122.95,127.86
5073.2,191,166.77,121.36,125.43
5088,190.05,165.45,120.51,124.23
5092.9,189.74,165.02,120.22,123.85
5148.6,186.33,160.77,116.34,119.91
5157.2,185.84,160.29,115.7,119.4
5170.7,185.11,159.63,114.72,118.64
5207.7,183.42,158.38,112.64,116.28
5211.1,183.3,158.3,112.51,115.72
5235.3,182.54,157.89,111.81,114.05
5290.4,181.49,157.54,111.16,114.25
5296,181.42,157.54,111.13,114.29
5378.4,180.73,157.64,111.22,114.71
5497.3,180.43,157.83,111.96,114.56
5558.3,180.48,157.79,112.47,114.46
5572.9,180.51,157.77,112.59,114.46
5581.5,180.53,157.76,112.67,114.47
5784.8,181.29,157.23,114.42,115.34
5817,181.41,157.15,114.67,115.41
5949.6,181.76,156.9,115.59,115.58
5979.3,181.81,156.89,115.77,115.7
5987.9,181.82,156.9,115.82,115.76
6140.4,181.82,157.17,116.63,116.86
6195.8,181.77,157.35,116.86,116.73
6328.3,181.68,157.76,117.24,116.2
6468.7,181.76,157.95,117.48,115.5
6592.7,182.2,157.92,117.65,114.82
6639,182.41,157.86,117.71,114.56
6706.9,182.67,157.73,117.8,114.16
6818.8,182.66,157.3,117.95,113.47
6828.9,182.62,157.24,117.97,113.4
6956,181.69,155.93,118.11,112.56
7008,181.13,155,118.16,112.11
7131.2,179.5,152.8,118.17,109.93
7141.6,179.34,152.71,118.16,109.66
7174.6,178.82,152.53,118.1,108.77
7188.6,178.59,152.45,118.07,108.38
7306.4,175.83,149.67,114.82,104.86
7312.9,175.58,149.42,114.53,104.65
7316.7,175.42,149.27,114.37,104.53
7345.3,174.12,148.07,113.28,103.57
7487,167.36,141.35,108.83,97.62
7538.5,165.21,138.81,107.35,95.14
7616.8,162.28,135.05,105.17,91.36
7628.4,161.87,134.52,104.85,90.8
7758.3,157.37,129.34,101.34,84.92
7867.8,153.58,126.05,98.48,80.83
7879.2,153.17,125.73,98.18,80.45
7902.5,152.35,125.08,97.58,79.7
7979.3,149.58,122.8,95.6,77.34
8098,145.21,118.47,92.5,73.41
8149.7,143.29,116.13,91.11,71.54
8206.5,141.17,113.38,89.55,69.41
8302.7,137.57,108.79,86.85,65.82
8329.2,136.58,107.65,86.11,64.86
8337.2,136.28,107.33,85.88,64.57
8549.1,128.73,101.53,80.32,56.87
8593.5,127.28,100.47,79.29,55.16
8596.2,127.2,100.41,79.23,55.05
8606.5,126.87,100.15,79,54.63
8775.7,121.77,94.97,75.59,47.92
8779.4,121.66,94.84,75.52,47.8
8919.7,117.5,89.2,73.02,43.7
8943.9,116.77,88.22,72.58,42.97
9028,114.09,85.03,70.4,40.23
9061.3,112.97,83.92,69.25,39
9082.1,112.24,83.27,68.57,38.17
9168.4,109.03,80.73,65.86,34.2
9239.8,106.08,78.34,63.61,30.36
9309.6,102.81,73.52,61.36,26.3
9340.8,101.17,70.77,60.31,24.46
9389.1,98.34,67.12,58.62,21.6
9432,95.44,64.2,56.98,19.02
9498,90.48,60.15,53.73,14.94
9515.3,89.14,59.19,52.56,13.83
9554.4,86.32,57.24,49.41,11.29
9579,84.78,56.06,47.62,9.67
9640.3,80.95,51.96,43.94,5.81
9644,80.66,51.62,43.73,5.61
9673.8,77.86,48.44,42.02,4.27
9704.8,73.95,44.59,40.16,3.81
9771.9,63.27,35.51,35.15,3.24
9781.1,61.65,34.26,34.03,3.15
9783.3,61.26,33.97,33.7,3.13
9789.5,60.13,33.13,32.43,3.08
9792.3,59.61,32.74,22.02,3.05
9862.2,46.71,23.51,8.91,2.45
9883.4,43.15,20.74,5.63,2.35
9909,39.09,17.35,1.32,4.62
9991.2,26.88,5.78,-2.74,17.17
10029.4,21.34,0.27,32.48,28.41
